run_id,seed,t,I,P,R,kappa,EH,bound
A-placebo,1819,70,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,80,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,90,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,100,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,110,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,120,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,130,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,140,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,150,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,160,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,170,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,180,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,190,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,1819,200,2023.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,0,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,10,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,20,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,30,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,40,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,50,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,60,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,70,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,80,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,90,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,100,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,110,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,120,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,130,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,140,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,150,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,160,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,170,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,180,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,190,2066.0,0.0,0.0,0.0,True,1477.3197218702985
A-placebo,2021,200,2066.0,0.0,0.0,0.0,True,1477.3197218702985
B-1.5,42,0,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,10,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,20,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,30,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,40,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,50,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,60,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,70,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,80,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,90,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,100,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,110,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,120,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,130,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,140,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
B-1.5,42,150,2052.0,0.00048828125,1.001953125,0.0,True,1477.3197218702985
